,address,bed_count,full_bath_count,half_bath_count,locality,lot_size,price,sqft
0,0 Gateway,,,,"Rock Springs, WY 82901",,"$725,000",
1,1003 Winchester Blvd.,4,4,,"Rock Springs, WY 82901",,"$452,900",
2,600 Talladega,5,3,,"Rock Springs, WY 82901",,"$396,900","3,154"
3,3239 Spearhead Way,4,3,1,"Rock Springs, WY 82901",,"$389,900","3,076"
4,522 Emerald Street,3,3,,"Rock Springs, WY 82901",,"$254,000","1,172"
5,1302 Veteran's Drive,4,2,,"Rock Springs, WY 82901",,"$252,900","1,932"
6,1021 Cypress Cir,4,3,,"Rock Springs, WY 82901",,"$210,000","1,676"
7,913 Madison Dr,3,2,,"Rock Springs, WY 82901",,"$209,000","1,344"
8,1344 Teton Street,3,2,,"Rock Springs, WY 82901",,"$199,900","1,920"
9,4 Minnies Lane,3,2,,"Rock Springs, WY 82901",,"$196,900","1,664"
10,9339 Sd 26900,,,,"Rocksprings, TX 78880",,"$1,700,000","2,560"
11,RR674P13 Hwy 377,,,,"Rocksprings, TX 78880",,"$1,100,000","2,000"
12,0 Hwy 41,,,,"Rocksprings, TX 78880",,"$1,080,000",
13,9339 Sd 26900,,,,"Rocksprings, TX 78880",,"$908,350","2,560"
14,CR450 Hwy 377,,,,"Rocksprings, TX 78880",,"$905,000",
15,Cr 240 Cr 240,,,,"Rocksprings, TX 78880",,"$695,000","1,398"
16,RR674 Hwy 377,,,,"Rocksprings, TX 78880",,"$605,000","1,738"
17,9770a Sd 26900,,,,"Rocksprings, TX 78880",,"$559,805","1,080"
18,Lot17 CR 2630,,,,"Rocksprings, TX 78880",,"$504,000",
19,"Tr12,16 CR 520",,,,"Rocksprings, TX 78880",,"$410,000",
20,32575 S Shadow Mountain Road,3,2,,"Black Canyon City, AZ 85324",,"$299,900","2,318"
21,32750 S Shangrila Drive,3,2,,"Black Canyon City, AZ 85324",,"$167,500","2,120"
22,0000 Black Canyon Highway,,,,"Black Canyon City, AZ 85324",,"$150,000",
23,34775 S CHOLLA Drive,3,2,,"Black Canyon City, AZ 85324",,"$129,500","1,220"
24,33403 S. HA-WA-SI TERRACE,4,2,,"BLACK CANYON CITY, AZ 85324",,"$129,000","2,000"
25,34263 S Bertha Street,5,2,,"Black Canyon City, AZ 85324",,"$80,000","2,260"
26,33160 S Canyon Road,3,2,,"Black Canyon City, AZ 85324",,"$77,900","1,248"
27,19421 E Todd Evans Road,3,2,,"Black Canyon City, AZ 85324",,"$70,500","1,404"
28,18688 E AGUA Vista,,,,"Black Canyon City, AZ 85324",,"$70,000",
29,50600 N Old Black Canyon Road,,,,"Black Canyon City, AZ 85324",,"$67,500",
30,20101 E SQUAW VALLEY Road,,,,"Black Canyon City, AZ 85324",,"$54,900",
31,33259 S Canyon Road,3,1,,"Black Canyon City, AZ 85324",,"$45,600","1,056"
32,34558 S ROADRUNNER RD,2,1,,"Black Canyon City, AZ 85324",,"$40,000",784
33,19260 E Scenic Loop Road,,,,"Black Canyon City, AZ 85324",,"$30,000",
34,19000 E MAREN Avenue,,,,"Black Canyon City, AZ 85324",,"$29,000",
35,19350 E SAGUARO Drive,,,,"Black Canyon City, AZ 85324",,"$28,995",
36,20650 E Amethyst Place,,,,"Black Canyon City, AZ 85324",,"$15,000",
